,,,,,,,,ShorttermDebt_TTM,int,Short term Debt TTM 
,,,,,,,,LongtermDebt_TTM,int,Long term Debt TTM 
,,,,,,,,SharesOutstanding,bigint,Shares Outstanding 
,,,,,,,,EPSDiluted,Float,EPS Diluted 
,,,,,,,,NetSales,int,Net Sales 
,,,,,,,,Netprofit,int,Net profit 
,,,,,,,,AnnualDividend,int,Annual Dividend
,,,,,,,,COGS,Int,COGS
,,,,,,,,PEGRatio_TTM,Float,PEG Ratio TTM
,,,,,,,,DividendPayout_TTM,Float,Dividend Payout TTM
,,,,,,,,Industry_PE,Float,Industry PE
10,Quarterly Ratio,http://jwttoken.cmots.com/Aidea/api/QuarterlyRatio/476/S,EOD,11:30 PM,Once on trading day,Cocode,CMOTS Company Code,,,
,,,,,,,,QtrEnd,int,Quarter End
,,,,,,,,co_code,Int,CMOTS Company code
,,,,,,,,MCAP,float,Market CAP
,,,,,,,,EV,float,EV 
,,,,,,,,PE,float,PE 
,,,,,,,,PBV,float,PBV 
,,,,,,,,EPS,float,EPS 
,,,,,,,,BookValue,float,BookValue 
,,,,,,,,EBIT,int,EBIT 
,, ,,,,,,EBITDA,int,EBITDA 
,,,,,,,,EV_Sales,float,EV_Sales 
,,,,,,,,EV_EBITDA,float,EV_EBITDA 
,,,,,,,,NetIncomeMargin,float,Net Income Margin 
,,,,,,,,GrossIncomeMargin,float,Gross Income Margin 
,,,,,,,,EBITDAMargin,float,EBITDA Margin 
,,,,,,,,EPSDiluted,float,EPS Diluted 
,,,,,,,,NetSales,int,Net Sales 
,,,,,,,,Netprofit,int,Net profit 
,,,,,,,,COGS,int,COGS
11,Yearly Ratio,http://jwttoken.cmots.com/Aidea/api/YearlyRatio/6068/S,EOD,11:30 PM,Once on trading day,Cocode,CMOTS Company Code,,,
,,,,,,,,YearEnd,int,Year End
,,,,,,,,co_code,Int,CMOTS Company code
,,,,,,,,MCAP,float,Market CAP
,,,,,,,,EV,float,EV 
,,,,,,,,PE,float,PE 
,,,,,,,,PBV,float,PBV 
,,,,,,,,DIVYIELD,float,DIVYIELD 
,,,,,,,,DividendPayout,float,Dividend Payout 
,,,,,,,,EPS,float,EPS 
,,,,,,,,BookValue,float,BookValue 
,,,,,,,,ROA,float,ROA 
,,,,,,,,ROE,float,ROE 
,,,,,,,,ROCE,float,ROCE 
,,,,,,,,EBIT,float,EBIT 
,,,,,,,,EBITDA,float,EBITDA 
,,,,,,,,EV_Sales,float,EV_Sales 
,,,,,,,,EV_EBITDA,float,EV_EBITDA 
,,,,,,,,NetIncomeMargin,float,Net Income Margin 
,,,,,,,,GrossIncomeMargin,float,Gross Income Margin 
,,,,,,,,AssetTurnover,float,Asset Turnover 
,,,,,,,,CurrentRatio,float,Current Ratio 
,,,,,,,,Debt_Equity,float,Debt Equity 
,,,,,,,,FCF_Margin,float,FCF Margin 
,,,,,,,,Sales_TotalAsset,float,Sales TotalAsset 
,,,,,,,,NetDebt_FCF,float,Net Debt FCF 
,,,,,,,,NetDebt_EBITDA,float,Net Debt EBITDA 
,,,,,,,,EBITDA_Margin,float,EBITDA Margin 
,,,,,,,,TotalShareHoldersEquity,float,Total Share Holders Equity 
,,,,,,,,ShorttermDebt,float,Short term Debt 
,,,,,,,,LongtermDebt,float,Long term Debt 
,,,,,,,,SharesOutstanding,float,Shares Out Standing 
,,,,,,,,NetSales,float,Net Sales 
,,,,,,,,Netprofit,float,Net profit 
,,,,,,,,AnnualDividend,float,Annual Dividend
,,,,,,,,COGS,float,COGS
,,,,,,,,RetainedEarnings,float,Retained Earnings
12,Yearly Result Based Ratios,http://jwttoken.cmots.com/Aidea/api/YearlyResultBasedRatios/476/S,EOD,11:30 PM,Once on trading day,Cocode,CMOTS Company Code,,,
,,,,,,,,YearEnd,int,Year End
,,,,,,,,co_code,Int,CMOTS Company code
,,,,,,,,MCAP,float,Market Cap
,,,,,,,,EV,float,EV
,,,,,,,,PE,float,PE
,,,,,,,,PBV,float,PBV 
,,,,,,,,DIVYIELD,float,DIV YIELD 
,,,,,,,,DividendPayout,float,Dividend Payout 
,,,,,,,,EPS,float,EPS 
,,,,,,,,BookValue,float,Book Value 
,,,,,,,,ROA,float,ROA 
,,,,,,,,ROE,float,ROE 
,,,,,,,,ROCE,float,ROCE 
,,,,,,,,EBIT,float,EBIT 
,,,,,,,,EBITDA,float,EBITDA 
,,,,,,,,EV_Sales,float,EV Sales 
,,,,,,,,EV_EBITDA,float,EV EBITDA 
,,,,,,,,NetIncomeMargin,float,Net Income Margin 
,,,,,,,,GrossIncomeMargin,float,Gross Income Margin 
,,,,,,,,AssetTurnover,float,Asset Turnover 
,,,,,,,,CurrentRatio,float,Current Ratio 
,,,,,,,,Debt_Equity,float,Debt Equity 
,,,,,,,,NetDebt_EBITDA,float,Net Debt EBITDA 
,,,,,,,,EBITDA_Margin,float,EBITDA Margin 
,,,,,,,,TotalShareholdersEquity,float,Total Share holders Equity 
,,,,,,,,ShorttermDebt,float,Short term Debt 
,,,,,,,,LongTermDebt,float,Long Term Debt 
,,,,,,,,EPSDiluted,float,EPS Diluted 
,,,,,,,,NetSales,float,Net Sales 
,,,,,,,,Netprofit,float,Net profit 
,,,,,,,,AnnualDividend,float,Annual Dividend
,,,,,,,,COGS,float,COGS 
13,Return Ratios Non Bank,http://jwttoken.cmots.com/Aidea/api/RatiosReturn/476/S,EOD,11:30 PM,Once on trading day,cocode,CMOTS Company Code,,,
,,,,,,,,YRC,int,Year Count
,,,,,,,,co_code,Int,CMOTS Company code
,,,,,,,,Return_ROE,float,Return roe 
,,,,,,,,Return_ROE_NetProfit,int,Return roe net profit 
,,,,,,,,Return_ROE_Networth,int,Return roe net worth 
,,,,,,,,Return_ROCE,float,Return roce 
,,,,,,,,Return_ROCE_EBIT,int,Return roce ebit 
,,,,,,,,Return_ROCE_CapitalEmployed,int,Return roce capital employed 
,,,,,,,,Return_ReturnOnAssets,float,Return return on assets 
,,,,,,,,Return_ROA_NetProfit,int,Return roa net profit 
,,,,,,,,Return_ROA_TotalFixedAssets,int,Return roa total fixed assets 
14,Return Ratios Bank,http://jwttoken.cmots.com/Aidea/api/RatiosReturn/4987/S,EOD,11:30 PM,Once on trading day,cocode,CMOTS Company Code,,,
,,,,,,,,YRC,int,Year Count
,,,,,,,,co_code,Int,CMOTS Company code
,,,,,,,,Return_ROE,Float,Return_ROE
,,,,,,,,Return_ROE_NetProfit,Float,Return_ROE_NetProfit
,,,,,,,,Return_ROE_Networth,Float,Return_ROE_Networth
,,,,,,,,Return_RO_Assets,Float,Return_RO_Assets
,,,,,,,,Return_RO_Assets_NetProfit,Float,Return_RO_Assets_NetProfit
,,,,,,,,Return_RO_Assets_TotalFixedAssets,Float,Return_RO_Assets_TotalFixedAssets
,,,,,,,,Return_NetInterestMargin,Float,Return_NetInterestMargin
,,,,,,,,Return_YieldOnAdvances,Float,Return_YieldOnAdvances
,,,,,,,,Return_YieldOnAdvances_InterestEarned,Float,Return_YieldOnAdvances_InterestEarned
,,,,,,,,Return_YieldOnAdvances_Advances,Float,Return_YieldOnAdvances_Advances
15,Solvency Ratios,http://jwttoken.cmots.com/Aidea/api/RatiosSolvency/476/S,EOD,11:30 PM,Once on trading day,cocode,CMOTS Company Code,,,
,,,,,,,,yrc,int,Year Count
,,,,,,,,co_code,Int,CMOTS Company code
,,,,,,,,solvency_totaldebttoequityratio,float,Solvency total debt to equity ratio
,,,,,,,,solvency_totaldebttoequityratio_totaldebt,int,Solvency total debt to equity ratio and total  debt
,,,,,,,,solvency_totaldebttoequityratio_networth,int,Solvency total debt to equity ratio net worth
,,,,,,,,solvency_interestcoverageratio,float,Solvency interest coverage ratio 
,,,,,,,,solvency_interestcoverageratio_ebit,int,Solvency interest coverage ratio ebit
,,,,,,,,solvency_interestcoverageratio_interestpayments,int,Solvency interest coverage ratio interest payments
,,,,,,,,solvency_currentratio,float,Solvency Current Ratio
,,,,,,,,solvency_currentratio_currentasset,int,Solvency Current Ratio  Current   Asset
,,,,,,,,solvency_currentratio_currentliabilities,int,Solvency Current Ratio Current   Liabilities
