"Date","Price","Open","High","Low","Vol.","Change %"
"19-03-2021","14,744.00","14,471.15","14,788.25","14,350.10","919.18M","1.28%"
"18-03-2021","14,557.85","14,855.50","14,875.20","14,478.60","542.22M","-1.11%"
"17-03-2021","14,721.30","14,946.55","14,956.55","14,696.05","479.35M","-1.27%"
"16-03-2021","14,910.45","14,996.10","15,051.60","14,890.65","437.65M","-0.13%"
"15-03-2021","14,929.50","15,048.40","15,048.40","14,745.85","467.47M","-0.67%"
"12-03-2021","15,030.95","15,321.15","15,336.30","14,953.60","493.24M","-0.95%"
"10-03-2021","15,174.80","15,202.15","15,218.45","15,100.85","404.59M","0.51%"
"09-03-2021","15,098.40","15,049.90","15,126.85","14,925.45","675.27M","0.95%"
"08-03-2021","14,956.20","15,002.45","15,111.15","14,919.90","580.31M","0.12%"
"05-03-2021","14,938.10","14,977.95","15,092.35","14,862.10","640.70M","-0.95%"
"04-03-2021","15,080.75","15,026.75","15,202.35","14,980.20","534.85M","-1.08%"
"03-03-2021","15,245.60","15,064.40","15,273.15","14,995.80","544.21M","2.19%"
"02-03-2021","14,919.10","14,865.30","14,959.10","14,760.80","621.72M","1.07%"
"01-03-2021","14,761.55","14,702.50","14,806.80","14,638.55","507.30M","1.60%"
"26-02-2021","14,529.15","14,888.60","14,919.45","14,467.75","1.10B","-3.76%"
"25-02-2021","15,097.35","15,079.85","15,176.50","15,065.35","803.88M","0.77%"
"24-02-2021","14,982.00","14,729.15","15,008.80","14,723.05","403.75M","1.86%"
"23-02-2021","14,707.80","14,782.25","14,854.50","14,651.85","744.09M","0.22%"
"22-02-2021","14,675.70","14,999.05","15,010.10","14,635.05","609.90M","-2.04%"
"19-02-2021","14,981.75","15,074.80","15,144.05","14,898.20","712.21M","-0.91%"
"18-02-2021","15,118.95","15,238.70","15,250.75","15,078.05","770.63M","-0.59%"
"17-02-2021","15,208.90","15,279.90","15,314.30","15,170.75","504.77M","-0.68%"
"16-02-2021","15,313.45","15,371.45","15,431.75","15,242.20","648.55M","-0.01%"
"15-02-2021","15,314.70","15,270.30","15,340.15","15,243.40","455.96M","1.00%"
"12-02-2021","15,163.30","15,186.20","15,243.50","15,081.00","571.81M","-0.07%"
"11-02-2021","15,173.30","15,073.25","15,188.50","15,065.40","500.12M","0.44%"
"10-02-2021","15,106.50","15,119.05","15,168.25","14,977.20","624.79M","-0.02%"
"09-02-2021","15,109.30","15,164.15","15,257.10","15,064.30","713.28M","-0.04%"
"08-02-2021","15,115.80","15,064.30","15,159.90","15,041.05","671.24M","1.28%"
"05-02-2021","14,924.25","14,952.60","15,014.65","14,864.75","935.63M","0.19%"
"04-02-2021","14,895.65","14,789.05","14,913.70","14,714.75","884.69M","0.71%"
"03-02-2021","14,789.95","14,754.90","14,868.85","14,574.15","869.48M","0.97%"
"02-02-2021","14,647.85","14,481.10","14,731.70","14,469.15","914.97M","2.57%"
"01-02-2021","14,281.20","13,758.60","14,336.35","13,661.75","870.53M","4.74%"
"29-01-2021","13,634.60","13,946.60","13,966.85","13,596.75","753.21M","-1.32%"
"28-01-2021","13,817.55","13,810.40","13,898.25","13,713.25","637.87M","-1.07%"
"27-01-2021","13,967.50","14,237.95","14,237.95","13,929.30","660.71M","-1.91%"
"25-01-2021","14,238.90","14,477.80","14,491.10","14,218.60","618.63M","-0.93%"
"22-01-2021","14,371.90","14,583.40","14,619.90","14,357.75","776.75M","-1.50%"
"21-01-2021","14,590.35","14,730.95","14,753.55","14,517.25","704.65M","-0.37%"
"20-01-2021","14,644.70","14,538.30","14,666.45","14,517.55","623.07M","0.85%"
"19-01-2021","14,521.15","14,371.65","14,546.05","14,350.85","546.11M","1.68%"
"18-01-2021","14,281.30","14,453.30","14,459.15","14,222.80","762.04M","-1.06%"
"15-01-2021","14,433.70","14,594.35","14,617.45","14,357.85","789.56M","-1.11%"
"14-01-2021","14,595.60","14,550.05","14,617.80","14,471.50","620.20M","0.21%"
"13-01-2021","14,564.85","14,639.80","14,653.35","14,435.70","873.96M","0.01%"
"12-01-2021","14,563.45","14,473.80","14,590.65","14,432.85","929.57M","0.54%"
"11-01-2021","14,484.75","14,474.05","14,498.20","14,383.10","672.88M","0.96%"
"08-01-2021","14,347.25","14,258.40","14,367.30","14,221.65","613.47M","1.48%"
"07-01-2021","14,137.35","14,253.75","14,256.25","14,123.10","559.17M","-0.06%"
"06-01-2021","14,146.25","14,240.95","14,244.15","14,039.90","632.32M","-0.38%"
"05-01-2021","14,199.50","14,075.15","14,215.60","14,048.15","492.48M","0.47%"
"04-01-2021","14,132.90","14,104.35","14,147.95","13,953.75","495.00M","0.82%"
"01-01-2021","14,018.50","13,996.10","14,049.85","13,991.35","258.09M","0.26%"
"31-12-2020","13,981.75","13,970.00","14,024.85","13,936.45","452.41M","0.00%"
"30-12-2020","13,981.95","13,980.90","13,997.00","13,864.95","380.68M","0.35%"
"29-12-2020","13,932.60","13,910.35","13,967.60","13,859.90","439.59M","0.43%"
"28-12-2020","13,873.20","13,815.15","13,885.30","13,811.55","403.63M","0.90%"
"24-12-2020","13,749.25","13,672.15","13,771.75","13,626.90","471.37M","1.09%"
"23-12-2020","13,601.10","13,473.50","13,619.45","13,432.20","458.65M","1.00%"
"22-12-2020","13,466.30","13,373.65","13,492.05","13,192.90","696.20M","1.03%"
"21-12-2020","13,328.40","13,741.90","13,777.50","13,131.45","687.25M","-3.14%"
"18-12-2020","13,760.55","13,764.40","13,772.85","13,658.60","519.39M","0.14%"
"17-12-2020","13,740.70","13,713.55","13,773.25","13,673.55","416.01M","0.42%"
"16-12-2020","13,682.70","13,663.10","13,692.35","13,606.45","462.15M","0.85%"
"15-12-2020","13,567.85","13,547.20","13,589.65","13,447.05","497.60M","0.07%"
"14-12-2020","13,558.15","13,571.45","13,597.50","13,472.45","558.39M","0.33%"
"11-12-2020","13,513.85","13,512.30","13,579.35","13,402.85","787.71M","0.26%"
"10-12-2020","13,478.30","13,488.50","13,503.55","13,399.30","553.40M","-0.38%"
"09-12-2020","13,529.10","13,458.10","13,548.90","13,449.60","502.60M","1.02%"
"08-12-2020","13,392.95","13,393.85","13,435.45","13,311.05","543.16M","0.28%"
"07-12-2020","13,355.75","13,264.85","13,366.65","13,241.95","591.72M","0.73%"
"04-12-2020","13,258.55","13,177.40","13,280.05","13,152.85","640.51M","0.95%"
"03-12-2020","13,133.90","13,215.30","13,216.60","13,107.90","713.69M","0.15%"
"02-12-2020","13,113.75","13,121.40","13,128.50","12,983.55","717.71M","0.04%"
"01-12-2020","13,109.05","13,062.20","13,128.40","12,962.80","583.63M","1.08%"
"27-11-2020","12,968.95","13,012.05","13,035.30","12,914.30","1.16B","-0.14%"
"26-11-2020","12,987.00","12,906.45","13,018.00","12,790.40","549.80M","1.00%"
"25-11-2020","12,858.40","13,130.00","13,145.85","12,833.65","679.01M","-1.51%"
"24-11-2020","13,055.15","13,002.60","13,079.10","12,978.00","571.87M","1.00%"
"23-11-2020","12,926.45","12,960.30","12,968.85","12,825.70","633.12M","0.52%"
"20-11-2020","12,859.05","12,813.40","12,892.45","12,730.25","664.00M","0.68%"
"19-11-2020","12,771.70","12,839.50","12,963.00","12,745.75","768.75M","-1.29%"
"18-11-2020","12,938.25","12,860.10","12,948.85","12,819.35","731.32M","0.50%"
"17-11-2020","12,874.20","12,932.50","12,934.05","12,797.10","707.68M","0.74%"
"14-11-2020","12,780.25","12,823.35","12,828.70","12,749.45","107.87M","0.47%"
"13-11-2020","12,719.95","12,659.70","12,735.95","12,607.70","513.95M","0.23%"
"12-11-2020","12,690.80","12,702.15","12,741.15","12,624.85","622.02M","-0.46%"
"11-11-2020","12,749.15","12,680.60","12,769.75","12,571.10","880.48M","0.93%"
"10-11-2020","12,631.10","12,556.40","12,643.90","12,475.25","847.45M","1.36%"
"09-11-2020","12,461.05","12,399.40","12,474.05","12,367.35","553.45M","1.61%"
"06-11-2020","12,263.55","12,156.65","12,280.40","12,131.85","576.84M","1.18%"
"05-11-2020","12,120.30","12,062.40","12,131.10","12,027.60","632.45M","1.78%"
"04-11-2020","11,908.50","11,783.35","11,929.65","11,756.40","667.29M","0.80%"
"03-11-2020","11,813.50","11,734.45","11,836.20","11,723.30","674.30M","1.24%"
"02-11-2020","11,669.15","11,697.35","11,725.65","11,557.40","568.43M","0.23%"
