"Date","Price","Open","High","Low","Vol.","Change %"
"03-08-2022","12,682.00","12,789.05","12,829.10","12,618.20","21.59M","-0.77%"
"02-08-2022","12,780.40","12,765.50","12,792.95","12,699.95","16.53M","0.11%"
"01-08-2022","12,766.85","12,835.40","12,883.75","12,707.70","20.08M","-0.08%"
"29-07-2022","12,776.55","12,677.75","12,835.45","12,526.30","33.38M","0.92%"
"28-07-2022","12,660.65","12,665.60","12,682.20","12,500.20","28.73M","0.25%"
"27-07-2022","12,628.95","12,341.65","12,647.75","12,301.85","20.89M","2.33%"
"26-07-2022","12,341.90","12,495.65","12,508.80","12,325.00","12.52M","-1.18%"
"25-07-2022","12,488.80","12,612.35","12,640.80","12,454.25","13.11M","-1.02%"
"22-07-2022","12,617.55","12,687.80","12,711.15","12,573.90","12.92M","-0.27%"
"21-07-2022","12,651.75","12,710.10","12,756.35","12,599.50","17.92M","-0.47%"
"20-07-2022","12,711.50","12,786.40","12,786.40","12,685.60","13.27M","0.23%"
"19-07-2022","12,682.20","12,680.40","12,820.25","12,663.15","15.39M","-0.25%"
"18-07-2022","12,713.45","12,827.35","12,869.40","12,668.45","16.22M","-0.15%"
"15-07-2022","12,732.00","12,775.40","12,800.75","12,665.00","12.42M","0.09%"
"14-07-2022","12,721.00","12,664.40","12,855.65","12,630.50","27.54M","0.78%"
"13-07-2022","12,622.30","12,494.70","12,639.15","12,442.55","16.68M","1.38%"
"12-07-2022","12,450.65","12,516.50","12,587.30","12,428.75","10.73M","-0.91%"
"11-07-2022","12,564.85","12,447.85","12,598.70","12,386.90","14.39M","0.93%"
"08-07-2022","12,449.45","12,449.30","12,460.05","12,392.35","11.16M","0.48%"
"07-07-2022","12,389.70","12,408.70","12,450.85","12,370.60","13.09M","0.47%"
"06-07-2022","12,331.15","12,264.00","12,350.70","12,220.40","12.71M","0.80%"
"05-07-2022","12,233.75","12,254.65","12,373.90","12,217.40","12.48M","0.13%"
"04-07-2022","12,218.20","12,240.30","12,344.55","12,143.95","9.98M","-0.35%"
"01-07-2022","12,260.90","12,124.45","12,296.30","12,084.00","11.41M","0.84%"
"30-06-2022","12,159.35","12,176.15","12,252.60","12,110.20","19.73M","-0.42%"
"29-06-2022","12,210.95","12,139.45","12,249.80","12,099.35","17.98M","-0.03%"
"28-06-2022","12,214.55","12,224.40","12,235.95","12,100.85","21.91M","-0.06%"
