"Token","ShortName","Series","CompanyName","ticksize","Lotsize","DateOfListing","DateOfDeListing","IssuePrice","FaceValue","ISINCode","52WeeksHigh","52WeeksLow","LifeTimeHigh","LifeTimeLow","HighDate","LowDate","Symbol","InstrumentType","PermittedToTrade","IssueCapital","WarningPercent","FreezePercent","CreditRating","IssueRate","IssueStartDate","InterestPaymentDate","IssueMaturityDate","BoardLotQty","Name","ListingDate","ExpulsionDate","ReAdmissionDate","RecordDate","ExpiryDate","NoDeliveryStartDate","NoDeliveryEndDate","MFill","AON","ParticipantInMarketIndex","BookClsStartDate","BookClsEndDate","EGM","AGM","Interest","Bonus","Rights","Dividends","LocalUpdateDateTime","DeleteFlag","Remarks","NormalMarketStatus","OddLotMarketStatus","SpotMarketStatus","AuctionMarketStatus","NormalMarketEligibility","OddLotlMarketEligibility","SpotMarketEligibility","AuctionlMarketEligibility","MarginPercentage","ExchangeCode"
"19093","SAAMED","SM","SAAKSHI MEDTECH AND PANELS LTD",0.01,1,"","",0,10,"INE0PSK01027",369,127.6,369,127.6,"","","",0,0,0,153.95,102.65,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","SAAKSHI"
"19097","SILMON","EQ","SILLY MONKS ENTERTAINMENT LTD",0.01,1,"","",0,10,"INE203Y01012",28.1,13.25,86.02,13.25,"","","",0,0,0,15.05,12.32,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","SILLYMONKS"
"19102","ADIRE1","BE","ADITYA BIRLA FASH RIGHTS ENT",0.01,1,"","",0,10,"INE647O20011",32.2,5.1,32.2,5.1,"","","",0,0,0,14.2,6.1,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","ABFRL-RE"
"19108","ROLLAT","BE","ROLLATAINTERS LTD",0.01,1,"","",0,1,"INE927A01040",4.91,1.3,88,0.85,"","","",0,0,0,1.39,1.26,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","ROLLT"
"19111","NBIIND","EQ","N. B. I. INDUSTRIAL FIN CO LTD",0.01,1,"","",0,5,"INE365I01020",4100,1665.05,4100,135,"","","",0,0,0,2448.05,2214.95,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","NBIFIN"
"19113","UPDSER","EQ","UPDATER SERVICES LIMITED",0.01,1,"","",0,2,"INE851I01011",438.6,244.5,438.6,235.3,"","","",0,0,0,334.25,222.85,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","UDS"
"19126","KIOLIM","EQ","KIOCL LIMITED",0.01,1,"","",0,10,"INE880L01014",511.7,216.22,577.35,10.5,"","","",0,0,0,284.12,189.41,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","KIOCL"
"19134","MANALL","SM","MANGALAM ALLOYS LIMITED",0.01,1,"","",0,10,"INE00C401011",47.25,26.25,80,26.25,"","","",0,0,0,31.95,21.35,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","MAL"
"19141","DIGSTU","ST","DIGIKORE STUDIOS LIMITED",0.01,1,"","",0,10,"INE0QJ901011",666,173.7,666,173.7,"","","",0,0,0,177.15,170.25,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","DIGIKORE"
"19142","USHMAR","EQ","USHA MARTIN EDUCATION & SOLUTI",0.01,1,"","",0,1,"INE240C01028",10.26,4.55,69.4,0.7,"","","",0,0,0,5.26,4.75,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","UMESLTD"
"19143","GLORE1","ST","GLOBE INTL CAR LTD RE",0.01,1,"","",0,1,"INE947T20014",0,0,2.1,0.25,"","","",0,0,0,0.35,0.15,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","GICL-RE"
"19154","INSFIL","SM","INSPIRE FILMS LIMITED",0.01,1,"","",0,10,"INE0NDX01019",52.1,19.2,72.1,19.2,"","","",0,0,0,24.2,16.2,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","INSPIRE"
"19161","NEWTEC","ST","NEWJAISA TECHNOLOGIES LIMITED",0.01,1,"","",0,5,"INE0PW501021",146.9,40.35,175,40.35,"","","",0,0,0,51.3,49.3,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","NEWJAISA"
"19184","SHEFOA","EQ","SHEELA FOAM LIMITED",0.01,1,"","",0,5,"INE916U01025",1067,686.5,2027.5,425.05,"","","",0,0,0,852,568,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","SFL"
"1919","KOPRAN","EQ","KOPRAN LTD",0.01,1,"","",0,10,"INE082A01010",369.7,156.01,372,6,"","","",0,0,0,192.74,157.69,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","KOPRAN"
"19196","TILIND","EQ","TILAKNAGAR INDUSTRIES LIMITED",0.01,1,"","",0,10,"INE133E01013",457,202.05,457,10.2,"","","",0,0,0,260.42,213.07,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","TI"
"192","NHAND6","N6","8.75% National Highway Feb 29",0.01,1,"","",0,1000,"INE906B07DF8",0,0,1739.8,979,"","","",0,0,0,1376.02,917.35,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","875NHAI29"
"1920","SGBT46","GB","2.50% SOV. GOLD BOND 5 JAN 29",0.01,1,"","",0,5000,"IN0020200377",0,0,8750,4451,"","","",0,0,0,9623.41,7873.7,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","SGBJAN29IX"
"19206","VININN","SM","VINYAS INNOVATIVE TECH. LTD",0.01,1,"","",0,10,"INE0OLS01010",1442.5,520,1442.5,313.5,"","","",0,0,0,826.75,748.05,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","VINYAS"
"19209","MANRET","BE","HEADS UP VENTURES LIMITED",0.01,1,"","",0,10,"INE759V01019",17.45,8.66,247,5.1,"","","",0,0,0,10.68,9.67,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","HEADSUP"
"19211","HINMED","EQ","HINDUSTAN MEDIA VENTURES LIMIT",0.01,1,"","",0,10,"INE871K01015",118.8,73.2,314,35,"","","",0,0,0,98.48,65.65,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","HMVL"
