ReportIndex,Report Name,API URL,Frequency,Updation Time,Interval,Input,Input Description,Column_Name,Column_DataType,Column_Description
,,,,,,,,reg_tel,varchar(100),Registrar Telephone
,,,,,,,,reg_fax,varchar(100),Registrar Fax
,,,,,,,,reg_email,varchar(100),Registrar Email                
,,,,,,,,reg_internet,varchar(100),Registrar Internet
,,,,,,,,flag,varchar(100),Flag
3,Board Of Directors,http://jwttoken.cmots.com/Aidea/api/BoardOfDirectors/476,EOD,11:30 PM,Once on trading day,cocode,CMOTS Company code,Output,OutputType,OutDesc
,,,,,,,,co_code,Int,CMOTS Company Code 
,,,,,,,,slno,Int,Serial Number for Same Multiple Records
,,,,,,,,dir_name,varchar(100),Director Name
,,,,,,,,dir_desg,varchar(100),Director Designation
,,,,,,,,year,Int,year
4,Director's Report,http://jwttoken.cmots.com/Aidea/api/DirectorsReports/6,EOD,11:30 PM,Once on trading day,Cocode,CMOTS Company code,Output,OutputType,OutDesc
,,,,,,,,co_code,Int,CMOTS Company Code 
,,,,,,,,lname,varchar(100),Company Long Name
,,,,,,,,directorrep,ntext,Director Report
,,,,,,,,yr ,Int,YEAR 
,,,,,,,,symbol,varchar(50),Symbol
5,Chairman's Report,http://jwttoken.cmots.com/Aidea/api/ChairmansReport/6,EOD,11:30 PM,Once on trading day,Cocode,CMOTS Company code,Output,OutputType,OutDesc
,,,,,,,,co_code,Int,CMOTS Company Code 
,,,,,,,,lname,varchar(100),Company Long Name
,,,,,,,,chairreport,ntext,Chairman's Report
,,,,,,,,yr ,Int,YEAR 
6,Bankers,http://jwttoken.cmots.com/Aidea/api/Bankers/6,EOD,11:30 PM,Once on trading day,cocode,CMOTS Company code,Output,OutputType,OutDesc
,,,,,,,,co_code,Int,CMOTS Company Code 
,,,,,,,,lname,varchar(100),Company Long Name
,,,,,,,,bnk_name,varchar(50),Bank Name
7,Management (biodata),http://jwttoken.cmots.com/Aidea/api/Biodata/6,EOD,11:30 PM,Once on trading day,cocode,CMOTS Company code,Output,OutputType,OutDesc
,,,,,,,,co_code,Int,CMOTS Company Code 
,,,,,,,,lname,varchar(100),Company Long Name
,,,,,,,,memo,ntext,memo
8,Auditor’s Report,http://jwttoken.cmots.com/Aidea/api/AuditorsReports/6,EOD,11:30 PM,Once on trading day,cocode,CMOTS Company code,Output,OutputType,OutDesc
,,,,,,,,co_code,int,CMOTS Company Code 
,,,,,,,,lname,varchar(100),Company Long Name
,,,,,,,,symbol,varchar(100),symbol
,,,,,,,,memo,ntext,MEMO
,,,,,,,,yr,int,Year
9,Notes to Account,http://jwttoken.cmots.com/Aidea/api/NotesToAccount/476/2024,EOD,11:30 PM,Once on trading day,cocode,CMOTS Company code,Output,OutputType,OutDesc
,,,,,,,,co_code,Int,CMOTS Company Code 
,,,,,,,,lname,varchar(100),LNAME
,,,,,,year,Year,memo,ntext,MEMO
10,Finished Products,http://jwttoken.cmots.com/Aidea/api/FinishedProducts/6,EOD,11:30 PM,Once on trading day,cocode,CMOTS Company code,Output,OutputType,OutDesc
,,,,,,,,co_code,int,CMOTS Company Code
,,,,,,,,lname,Varchar (100),Company Long Name
,,,,,,,,yrc,int ,Year
,,,,,,,,prname,Varchar (100),Product Name
,,,,,,,,uom,Varchar (100),UOM
,,,,,,,,per_sale,float,Per Sale
,,,,,,,,inst,float,Inst
,,,,,,,,prodn,float,Prodn
,,,,,,,,saleqty,float,Sale Quantity
,,,,,,,,saleval,float,Sale Value
,,,,,,,,symbol,Varchar (100),symbol
11,Raw Material,http://jwttoken.cmots.com/Aidea/api/RawMaterials/6,EOD,11:30 PM,Once on trading day,cocode,CMOTS Company code,Output,OutputType,OutDesc
,,,,,,,,co_code,Int,CMOTS Company Code
,,,,,,,,lname,Varchar (100),Company Long Name
,,,,,,,,yrc,int ,Year
,,,,,,,,prname,Varchar (100),Product Name
,,,,,,,,uom,Varchar (100),UOM
,,,,,,,,qty,float,Quantity
,,,,,,,,value,float,Value
,,,,,,,,year,int ,Year
,,,,,,,,symbol,Varchar (100),symbol
12,Related Party Transaction,http://jwttoken.cmots.com/Aidea/api/Related_Party_Transaction/6,EOD,11:30 PM,Once on trading day,cocode ,CMOTS Company code,Output,OutputType,OutDesc
,,,,,,,,co_code,Int,CMOTS Company Code
,,,,,,,,yrc,int,Year
,,,,,,,,slno,int,SLNO
